구분,1종대형,1종보통,1종소형,대형견인,소형견인,구난,2종보통,2종소형,원자
16,0,0,0,0,0,0,0,0,2197
17,0,0,0,0,0,0,0,0,4854
18,0,28078,0,0,0,0,22321,131,2728
19,729,112365,0,0,0,2,109397,180,2259
20,3096,143684,0,5,1,10,156613,243,2794
21,7723,148759,0,7,4,14,175292,264,2599
22,12819,165957,0,7,5,21,208607,214,2130
23,16137,192664,0,13,5,37,241373,301,2192
24,18264,208872,0,21,16,36,263078,344,2296
25,21487,230108,0,19,11,35,283466,330,2383
26,23970,249077,0,31,12,29,291867,310,2039
27,25989,267579,0,28,19,23,291873,293,1670
28,28045,291295,0,17,13,24,293997,292,1523
29,28548,291220,0,18,24,26,288561,249,1386
30,26588,280108,0,31,34,29,262657,202,1245
31,26404,283771,0,31,26,28,260536,202,1246
32,26125,295667,0,24,36,19,252035,184,1266
33,26398,300034,0,27,43,20,245632,158,1273
34,28092,317697,0,18,46,16,238424,172,1377
35,31310,341256,0,19,54,20,233959,173,1369
36,32485,358596,0,28,67,27,225802,161,1451
37,40301,417799,0,34,68,23,238711,183,1462
38,46465,468213,0,36,71,19,249927,187,1644
39,49557,484485,0,35,62,21,245610,182,1511
40,51309,484848,0,39,67,21,240257,185,1444
41,53027,477264,0,56,79,18,238455,198,1418
42,49771,415602,0,42,63,21,204844,156,1362
43,53804,440130,0,52,68,27,225038,165,1335
44,54625,427868,0,76,80,17,220435,129,1321
45,57749,435282,0,58,43,19,230116,147,1341
46,65222,469061,0,90,53,24,247043,185,1486
47,68503,479791,0,101,58,17,259186,147,1523
48,69742,479008,0,101,47,17,257754,151,1677
49,75260,499534,0,93,50,19,269340,155,1770
50,73868,482781,0,94,46,24,259310,191,1954
51,75052,478705,0,99,52,13,258133,178,2089
52,76438,476035,0,104,45,21,252452,165,2448
53,70920,433772,0,108,41,13,234769,176,2461
54,71482,411786,0,98,37,17,210812,174,2764
55,70720,417267,0,89,32,17,226727,178,3064
56,68660,403038,0,89,25,12,220349,156,3273
57,65149,377102,0,72,29,8,209450,195,3462
58,72343,410782,0,95,27,10,223840,208,4292
59,73046,412377,0,77,26,8,227534,211,5075
60,72332,404651,0,77,17,6,227355,238,5531
61,64632,366616,0,74,26,10,206257,206,5508
62,58524,328543,0,65,17,8,185263,189,5289
63,56224,316058,0,60,17,4,180754,192,5548
64,49789,273197,1,47,14,6,161016,208,5896
65,49410,270281,0,53,16,5,163042,205,6437
66,41184,221791,0,36,9,1,133060,140,6013
67,31963,183021,0,43,8,0,114685,133,5484
68,34062,190178,0,22,5,2,121563,166,6876
69,22747,127829,0,23,11,0,82423,125,6023
70,22190,127592,0,29,3,0,85655,103,6701
71,19516,117764,0,17,3,2,84767,124,7387
72,17643,108078,0,15,2,1,80476,134,7621
73,15445,98002,0,15,3,1,77375,122,8378
74,11556,72290,0,5,0,3,59960,97,6937
75,9197,56348,0,2,0,3,48921,77,6687
76,8740,50513,0,11,0,0,46810,78,7906
77,7086,42636,0,2,2,0,43266,87,8509
78,7282,43479,1,7,2,0,46913,103,11583
79,4929,30537,0,3,1,0,36237,56,9532
80,3562,21741,3,4,0,0,29098,34,8382
81,2916,17832,1,2,0,0,26308,43,8678
82,2029,12724,0,0,0,1,21222,26,7642
83,1418,9272,1,3,0,0,17414,28,6719
84,1018,6664,1,3,0,0,13833,23,6019
85,701,4754,0,3,0,0,11049,20,5057
86,452,3170,0,0,0,0,8123,11,4027
87,282,2047,0,0,0,1,5631,3,2994
88,208,1430,0,0,0,0,4239,4,2280
89,125,947,0,0,0,0,2734,6,1546
90,90,614,0,1,0,0,1950,3,1073
91,78,526,0,0,1,0,1715,2,817
92,43,315,0,0,0,0,1076,6,579
93,37,221,0,0,0,0,738,0,399
94,18,124,0,1,0,0,432,1,249
95,9,72,0,0,0,0,311,0,175
96,15,80,0,0,0,0,257,1,94
97,17,83,2,0,0,0,242,1,73
98,9,54,0,0,0,0,178,0,60
99 이상,30,166,0,2,0,0,380,1,70
